City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Codrington,AU,2020-05-06 22:48:53,-38.27,141.97,98,46,65.66,19.51
Bubaque,GW,2020-05-06 22:48:53,11.28,-15.83,0,75,78.33,13.04
Marabu,MY,2020-05-06 22:48:53,4.41,114.01,75,79,89.6,4.7
Port Blair,IN,2020-05-06 22:48:53,11.67,92.75,88,72,86.58,7.96
Nouakchott,MR,2020-05-06 22:48:53,18.09,-15.98,0,88,68.0,11.41
Tripoli,LY,2020-05-06 22:46:26,32.88,13.19,60,53,74.19,12.73
Guerrero Negro,MX,2020-05-06 22:44:31,27.98,-114.06,0,64,70.07,14.85
Malatya Province,TR,2020-05-06 22:48:54,38.5,38.0,1,81,42.8,4.7
Chicama,PE,2020-05-06 22:48:54,-7.84,-79.15,65,73,71.62,4.54
Kirakira,SB,2020-05-06 22:48:54,-10.45,161.92,21,73,83.03,7.87
La Ronge,CA,2020-05-06 22:44:55,55.1,-105.28,40,31,46.4,10.29
Ploemeur,FR,2020-05-06 22:48:54,47.73,-3.43,95,93,55.0,5.82
Morón,AR,2020-05-06 22:48:54,-34.65,-58.62,48,100,57.99,5.32
Plettenberg Bay,ZA,2020-05-06 22:48:55,-34.05,23.37,6,67,61.7,2.89
Kieta,PG,2020-05-06 22:48:55,-6.22,155.63,89,69,84.56,4.07
Claveria,PH,2020-05-06 22:48:55,18.61,121.08,61,59,88.79,7.76
Maracaçumé,BR,2020-05-06 22:46:42,-2.04,-45.96,60,97,73.89,2.3
Maināguri,IN,2020-05-06 22:48:55,26.57,88.82,0,33,89.26,2.24
Keflavik,IS,2020-05-06 22:48:55,64.0,-22.56,90,100,42.8,14.99
Acala,MX,2020-05-06 22:48:56,16.57,-92.8,75,61,82.4,10.29
Constitución,CL,2020-05-06 22:46:51,-35.33,-72.42,82,44,57.7,5.57
Tautira,PF,2020-05-06 22:44:36,-17.73,-149.15,100,58,82.4,14.99
Saint-Pierre,RE,2020-05-06 22:48:56,-21.34,55.48,19,73,73.4,8.05
Khuzdar,PK,2020-05-06 22:44:09,27.74,66.64,64,15,80.4,3.98
Tigil',RU,2020-05-06 22:48:56,57.8,158.67,100,90,36.19,7.83
Iqaluit,CA,2020-05-06 22:48:57,63.75,-68.51,75,78,14.0,3.36
Saldanha,ZA,2020-05-06 22:48:57,-33.01,17.94,88,72,60.8,1.12
Banjar,ID,2020-05-06 22:48:57,-8.19,114.97,20,89,86.0,8.05
Rawlins,US,2020-05-06 22:48:57,41.79,-107.24,1,13,62.6,18.34
Deputatsky,RU,2020-05-06 22:48:57,69.3,139.9,80,96,25.36,3.51
Strezhevoy,RU,2020-05-06 22:48:57,60.73,77.59,13,61,46.4,6.71
Dubai,AE,2020-05-06 22:48:46,25.26,55.3,0,21,84.2,4.7
Kopervik,NO,2020-05-06 22:48:58,59.28,5.31,13,87,42.8,3.36
Robertsport,LR,2020-05-06 22:48:58,6.75,-11.37,59,87,80.38,7.4
Eyrarbakki,IS,2020-05-06 22:48:58,63.86,-21.15,90,100,42.8,12.75
Merauke,ID,2020-05-06 22:48:59,-8.47,140.33,54,68,84.45,10.49
Monrovia,LR,2020-05-06 22:48:45,6.3,-10.8,56,84,80.71,5.61
Kuusamo,FI,2020-05-06 22:48:59,65.97,29.18,0,92,24.8,1.12
Vágur,FO,2020-05-06 22:48:59,61.47,-6.81,98,78,44.8,15.88
Kahului,US,2020-05-06 22:48:59,20.89,-156.47,40,61,80.6,18.34
Srednekolymsk,RU,2020-05-06 22:48:59,67.45,153.68,98,96,31.57,4.79
Begunitsy,RU,2020-05-06 22:48:59,59.59,29.32,56,65,44.6,11.18
Kumluca,TR,2020-05-06 22:49:00,36.37,30.29,4,65,63.32,2.1
Bitung,ID,2020-05-06 22:49:00,1.45,125.18,20,63,91.4,2.24
Mogok,MM,2020-05-06 22:49:00,22.92,96.5,76,60,77.23,1.36
Coquimbo,CL,2020-05-06 22:49:00,-29.95,-71.34,0,93,53.6,4.7
Cheremkhovo,RU,2020-05-06 22:49:00,53.16,103.07,24,41,52.25,8.37
Hobyo,SO,2020-05-06 22:49:01,5.35,48.53,13,73,83.8,7.0
Batagay-Alyta,RU,2020-05-06 22:49:01,67.8,130.41,100,96,22.75,12.08
Ostrovnoy,RU,2020-05-06 22:49:01,68.05,39.51,95,88,34.5,11.68
Geraldton,AU,2020-05-06 22:44:19,-28.77,114.6,90,55,64.4,11.41
Amapá,BR,2020-05-06 22:49:01,1.0,-52.0,53,98,72.82,2.17
Valdemārpils,LV,2020-05-06 22:49:01,57.37,22.59,34,87,42.8,5.82
Russell,US,2020-05-06 22:45:35,32.35,-85.2,1,51,60.8,17.22
Yarensk,RU,2020-05-06 22:49:02,62.17,49.09,5,84,53.37,9.55
Sohag,EG,2020-05-06 22:44:35,26.56,31.69,0,42,66.2,6.93
Velyka Lepetykha,UA,2020-05-06 22:49:02,47.18,33.94,26,82,46.89,6.73
Enid,US,2020-05-06 22:49:02,36.4,-97.88,1,54,62.6,8.05
Adrar,MR,2020-05-06 22:49:02,20.5,-10.07,21,12,87.69,7.65
Huarmey,PE,2020-05-06 22:49:02,-10.07,-78.15,84,75,70.05,6.98
Balad,IQ,2020-05-06 22:49:02,34.02,44.15,0,54,68.13,8.63
Ełk,PL,2020-05-06 22:49:03,53.83,22.36,5,97,36.79,8.75
Petropavlovsk-Kamchatskiy,RU,2020-05-06 22:49:03,53.05,158.65,40,39,46.4,17.9
Ikwiriri,TZ,2020-05-06 22:49:03,-7.96,38.97,54,96,69.94,2.28
Al Bardīyah,LY,2020-05-06 22:49:03,31.76,25.09,0,36,66.15,10.67
Beringovskiy,RU,2020-05-06 22:49:03,63.05,179.32,95,96,32.63,10.98
Roskilde,DK,2020-05-06 22:49:03,55.64,12.08,73,93,46.0,6.93
Chara,RU,2020-05-06 22:49:04,56.91,118.26,100,68,40.53,2.57
Fukuechō,JP,2020-05-06 22:49:04,32.69,128.84,26,46,69.8,18.34
Manono,CD,2020-05-06 22:49:04,-7.3,27.42,0,83,67.51,3.29
Tabou,CI,2020-05-06 22:49:04,4.42,-7.35,98,88,79.88,5.41
Tari,NG,2020-05-06 22:49:04,12.41,4.49,38,13,86.38,5.39
Ust-Nera,RU,2020-05-06 22:49:05,64.57,143.2,95,87,34.05,2.51
Kavaratti,IN,2020-05-06 22:49:05,10.57,72.64,97,69,85.78,2.93
Sandpoint,US,2020-05-06 22:49:05,48.28,-116.55,90,87,44.01,5.82
Sestri Levante,IT,2020-05-06 22:49:05,44.27,9.4,0,79,62.01,7.16
Papillion,US,2020-05-06 22:49:05,41.15,-96.04,1,62,52.0,6.51
Irkutsk,RU,2020-05-06 22:49:05,52.3,104.3,6,30,53.6,6.71
Richards Bay,ZA,2020-05-06 22:49:05,-28.78,32.04,98,76,65.5,7.16
León,MX,2020-05-06 22:45:20,21.12,-101.67,75,43,69.8,11.41
Rājgīr,IN,2020-05-06 22:46:44,25.03,85.42,20,69,78.8,6.69
Bonavista,CA,2020-05-06 22:49:06,48.65,-53.11,96,85,33.01,5.93
Mandan,US,2020-05-06 22:49:06,46.83,-100.89,1,50,57.99,5.82
Daru,PG,2020-05-06 22:49:06,-9.08,143.21,63,70,82.47,16.33
Abu Samrah,SY,2020-05-06 22:49:06,35.3,37.18,0,87,56.64,10.92
Prijepolje,RS,2020-05-06 22:49:06,43.37,19.64,93,75,37.4,5.82
Ōme,JP,2020-05-06 22:49:06,35.78,139.24,1,30,69.01,16.11
Atasū,KZ,2020-05-06 22:49:06,48.68,71.64,98,40,54.05,13.94
Sungai Raya,ID,2020-05-06 22:49:07,0.7,108.9,1,63,88.97,5.3
Cap Malheureux,MU,2020-05-06 22:49:07,-19.98,57.61,54,86,73.99,4.0
Senj,HR,2020-05-06 22:49:07,44.99,14.91,34,74,44.01,5.01
Yulara,AU,2020-05-06 22:45:00,-25.24,130.99,0,10,78.8,9.17
Labytnangi,RU,2020-05-06 22:49:07,66.66,66.42,100,99,29.57,8.21
Great Yarmouth,GB,2020-05-06 22:49:07,52.61,1.73,0,99,44.01,4.34
Fortuna,US,2020-05-06 22:49:07,40.6,-124.16,20,81,57.0,10.29
Torbay,CA,2020-05-06 22:49:08,47.67,-52.73,90,93,37.0,11.41
Novy Urengoy,RU,2020-05-06 22:49:08,66.08,76.63,62,97,22.5,4.43
Palu,ID,2020-05-06 22:49:08,-0.89,119.87,8,48,92.97,2.51
Tilichiki,RU,2020-05-06 22:49:08,60.47,166.1,100,100,31.91,12.26
Saint-Augustin,CA,2020-05-06 22:49:08,51.23,-58.65,100,95,33.84,7.09
São Félix do Xingu,BR,2020-05-06 22:49:08,-6.64,-51.99,75,90,73.47,1.1
Owensboro,US,2020-05-06 22:49:08,37.77,-87.11,1,58,53.6,4.7
Taltal,CL,2020-05-06 22:49:09,-25.4,-70.48,4,72,59.99,2.59
Paamiut,GL,2020-05-06 22:49:09,61.99,-49.67,100,91,37.89,3.51
Pisco,PE,2020-05-06 22:49:09,-13.7,-76.22,100,82,66.2,1.12
Varberg,SE,2020-05-06 22:49:09,57.11,12.25,18,89,46.99,8.01
Kulhudhuffushi,MV,2020-05-06 22:49:09,6.62,73.07,85,76,84.45,5.79
Nānākuli,US,2020-05-06 22:49:09,21.39,-158.15,40,51,82.4,8.05
Mandera,KE,2020-05-06 22:49:09,3.94,41.87,48,74,77.49,11.23
Katsuura,JP,2020-05-06 22:49:10,35.13,140.3,20,42,69.01,14.99
Kurikka,FI,2020-05-06 22:49:10,62.62,22.42,0,89,34.0,4.7
Kruisfontein,ZA,2020-05-06 22:49:10,-34.0,24.73,0,94,54.95,4.34
Temuco,CL,2020-05-06 22:49:10,-38.73,-72.6,82,87,46.99,3.36
Woodward,US,2020-05-06 22:49:10,36.43,-99.39,1,42,64.4,9.17
Anadyr,RU,2020-05-06 22:49:11,64.75,177.48,0,95,32.0,35.79
Belaya Gora,RU,2020-05-06 22:49:11,68.53,146.42,88,98,30.29,5.64
Safita,SY,2020-05-06 22:49:11,34.82,36.12,48,80,59.0,3.0
Chapadinha,BR,2020-05-06 22:49:11,-3.74,-43.36,0,98,73.29,1.72
Gangtok,IN,2020-05-06 22:49:11,27.33,88.62,2,53,67.05,4.03
Athabasca,CA,2020-05-06 22:45:40,54.72,-113.29,2,55,55.81,5.5
Varkala,IN,2020-05-06 22:49:12,8.73,76.71,20,74,86.0,5.82
Narasannapeta,IN,2020-05-06 22:49:12,18.42,84.05,1,61,89.04,7.43
Korla,CN,2020-05-06 22:49:12,41.76,86.15,0,33,60.42,6.49
Seymchan,RU,2020-05-06 22:49:12,62.88,152.43,100,97,31.66,9.01
Basoko,CD,2020-05-06 22:49:12,1.24,23.62,100,91,72.52,1.12
Oriximiná,BR,2020-05-06 22:44:44,-1.77,-55.87,80,95,75.56,2.13
Olafsvik,IS,2020-05-06 22:49:12,64.89,-23.71,73,87,42.06,10.89
Dwārka,IN,2020-05-06 22:49:13,22.24,68.97,0,76,84.0,9.53
Kailua,US,2020-05-06 22:49:13,21.4,-157.74,75,54,84.2,12.75
São João da Barra,BR,2020-05-06 22:49:13,-21.64,-41.05,72,86,72.21,12.41
Semey,KZ,2020-05-06 22:49:13,50.41,80.23,0,61,50.0,4.47
Okhotsk,RU,2020-05-06 22:49:13,59.38,143.3,0,66,41.2,7.56
Lakselv,NO,2020-05-06 22:49:13,70.05,24.97,100,65,41.0,40.26
Salekhard,RU,2020-05-06 22:49:13,66.53,66.6,100,99,30.16,12.75
Abaetetuba,BR,2020-05-06 22:49:14,-1.72,-48.88,40,94,77.0,3.38
Ixtapa,MX,2020-05-06 22:49:14,20.7,-105.2,20,78,78.8,6.93
Tenosique,MX,2020-05-06 22:49:14,17.48,-91.43,99,84,77.49,2.24
Oistins,BB,2020-05-06 22:49:14,13.07,-59.53,40,74,80.6,23.04
Muros,ES,2020-05-06 22:49:14,42.78,-9.06,100,93,55.0,3.83
Pangody,RU,2020-05-06 22:49:14,65.85,74.49,100,97,23.59,6.2
Raudeberg,NO,2020-05-06 22:49:15,61.99,5.14,98,91,39.0,2.84
Rundu,NA,2020-05-06 22:49:15,-17.93,19.77,0,43,54.28,4.65
Lys'va,RU,2020-05-06 22:49:15,58.11,57.81,100,58,60.19,6.2
Valle de Santiago,MX,2020-05-06 22:46:16,20.38,-101.2,90,82,62.6,6.93
Wuzhou,CN,2020-05-06 22:49:15,23.48,111.32,50,64,88.86,7.78
Atherton,GB,2020-05-06 22:49:16,53.52,-2.49,0,66,46.99,1.99
Ivdel',RU,2020-05-06 22:49:16,60.69,60.42,29,59,59.38,4.12
Knysna,ZA,2020-05-06 22:49:16,-34.04,23.05,40,100,53.6,1.12
Provincia di Latina,IT,2020-05-06 22:49:16,41.45,13.1,21,81,62.01,1.99
Uarini,BR,2020-05-06 22:49:16,-2.99,-65.11,97,98,73.18,3.56
Nacala,MZ,2020-05-06 22:45:02,-14.54,40.67,25,85,72.03,11.92
Tazovsky,RU,2020-05-06 22:49:16,67.47,78.7,83,98,27.54,8.52
North Bend,US,2020-05-06 22:49:17,43.41,-124.22,1,66,59.0,20.8
Moerai,PF,2020-05-06 22:49:17,-22.43,-151.33,12,78,78.84,11.59
Kununurra,AU,2020-05-06 22:49:17,-15.77,128.73,28,24,89.6,6.93
Usinsk,RU,2020-05-06 22:49:17,65.99,57.53,99,98,43.18,13.6
Vryburg,ZA,2020-05-06 22:49:17,-26.96,24.73,0,44,49.95,3.71
Kalevala,RU,2020-05-06 22:49:17,65.2,31.17,17,95,31.95,4.83
Tam Ky,VN,2020-05-06 22:49:17,15.57,108.48,88,70,89.6,3.36
Altamirano,MX,2020-05-06 22:49:18,16.88,-92.15,82,100,58.26,1.3
Kwinana,AU,2020-05-06 22:49:18,-32.25,115.77,90,82,62.01,9.17
Balaipungut,ID,2020-05-06 22:49:18,1.05,101.28,20,74,84.2,6.93
Smithers,CA,2020-05-06 22:46:26,54.78,-127.17,40,30,57.2,18.34
Chkalovskoye,RU,2020-05-06 22:49:18,44.84,133.04,0,38,65.34,6.64
Miranda,CO,2020-05-06 22:49:18,3.25,-76.23,75,73,75.2,5.82
Mehamn,NO,2020-05-06 22:49:19,71.04,27.85,100,94,36.52,12.8
Monte Gordo,PT,2020-05-06 22:49:19,37.18,-7.45,100,52,69.8,8.05
Lewisporte,CA,2020-05-06 22:49:19,49.25,-55.05,90,93,35.6,9.17
Makat,KZ,2020-05-06 22:49:19,47.65,53.35,79,26,66.74,19.57
Huilong,CN,2020-05-06 22:49:19,31.81,121.66,0,79,70.0,3.0
Bundaberg,AU,2020-05-06 22:49:19,-24.85,152.35,40,53,80.01,14.99
Ubari,LY,2020-05-06 22:49:19,26.59,12.78,0,23,68.79,3.36
Nemuro,JP,2020-05-06 22:45:04,43.32,145.57,75,75,42.8,5.82
Alamosa,US,2020-05-06 22:49:20,37.47,-105.87,1,9,68.0,17.22
Dzhebariki-Khaya,RU,2020-05-06 22:49:20,62.22,135.8,100,61,46.33,4.03
Troitskoye,RU,2020-05-06 22:49:20,52.98,84.68,10,52,56.71,15.95
Beyneu,KZ,2020-05-06 22:49:20,45.32,55.2,98,37,66.07,22.1
Tessalit,ML,2020-05-06 22:44:31,20.2,1.01,0,16,78.33,1.77
Le Vauclin,MQ,2020-05-06 22:49:20,14.55,-60.84,75,78,80.6,12.75
Tombouctou,ML,2020-05-06 22:49:20,20.0,-3.0,0,21,89.31,7.29
Mujiayingzi,CN,2020-05-06 22:49:21,42.12,118.78,100,41,60.78,10.98
Hamilton,US,2020-05-06 22:49:21,39.18,-84.53,40,42,50.0,6.93
Panacan,PH,2020-05-06 22:49:21,9.25,118.41,20,66,91.4,4.7
Tucupita,VE,2020-05-06 22:47:21,9.06,-62.05,99,83,75.45,3.76
Menongue,AO,2020-05-06 22:49:21,-14.66,17.69,6,64,55.54,5.46
Tagajo,JP,2020-05-06 22:49:21,38.29,141.01,75,39,62.6,18.34
Qorveh,IR,2020-05-06 22:49:22,35.17,47.8,73,78,43.68,19.01
Keti Bandar,PK,2020-05-06 22:49:22,24.14,67.45,0,56,87.35,13.56
Buckeye,US,2020-05-06 22:45:00,33.37,-112.58,1,9,97.0,6.93
Bilma,NE,2020-05-06 22:49:22,18.69,12.92,0,15,81.77,7.81
Estelle,US,2020-05-06 22:49:22,29.85,-90.11,1,38,77.0,3.36
Lázaro Cárdenas,MX,2020-05-06 22:49:22,17.96,-102.2,0,79,75.52,3.56
Kuito,AO,2020-05-06 22:49:22,-12.38,16.93,26,71,57.72,5.44
Tigre,AR,2020-05-06 22:49:22,-34.43,-58.58,64,87,54.0,5.75
Vila Velha,BR,2020-05-06 22:49:23,-20.33,-40.29,99,83,75.2,8.05
Portland,US,2020-05-06 22:49:05,45.52,-122.68,20,38,60.8,11.41
Calvià,ES,2020-05-06 22:49:23,39.57,2.51,24,55,63.0,5.82
Nantucket,US,2020-05-06 22:49:23,41.28,-70.1,90,87,43.0,9.17
Oranjemund,NA,2020-05-06 22:49:23,-28.55,16.43,0,40,64.15,2.95
Dera Ghazi Khan,PK,2020-05-06 22:49:23,30.06,70.63,0,32,87.19,5.82
Coyhaique,CL,2020-05-06 22:49:24,-45.58,-72.07,100,93,48.2,8.05
Dukat,RU,2020-05-06 22:45:10,62.55,155.55,100,96,27.73,9.1
Bay Roberts,CA,2020-05-06 22:49:24,47.6,-53.26,100,8,37.0,1.01
Hauterive,FR,2020-05-06 22:49:24,46.09,3.45,50,93,48.2,2.24
Klaksvík,FO,2020-05-06 22:49:24,62.23,-6.59,73,75,44.6,13.87
Bam,IR,2020-05-06 22:49:24,29.11,58.36,100,18,84.58,8.88
Malinyi,TZ,2020-05-06 22:49:24,-8.93,36.13,65,90,69.24,1.1
Bereda,ES,2020-05-06 22:49:24,43.27,-7.54,100,100,51.01,0.87
Sitka,US,2020-05-06 22:49:25,57.05,-135.33,90,70,48.2,10.29
Ratnagiri,IN,2020-05-06 22:49:25,16.98,73.3,0,67,86.2,1.88
Boyuibe,BO,2020-05-06 22:49:25,-20.42,-63.28,2,51,50.76,6.49
Maceió,BR,2020-05-06 22:44:41,-9.67,-35.74,75,94,77.0,5.88
Pemangkat,ID,2020-05-06 22:49:25,1.17,108.97,1,67,86.63,3.49
Hammerfest,NO,2020-05-06 22:49:25,70.66,23.68,100,93,35.6,27.51
Artigas,UY,2020-05-06 22:49:26,-30.4,-56.47,11,85,45.37,6.2
Pierre,US,2020-05-06 22:45:44,44.37,-100.35,1,53,55.0,8.05
Soc Trang,VN,2020-05-06 22:49:26,9.6,105.98,40,74,87.8,5.82
Banes,CU,2020-05-06 22:49:26,20.96,-75.72,100,94,73.4,4.7
Pacific Grove,US,2020-05-06 22:49:26,36.62,-121.92,1,52,66.0,9.17
Tagusao,PH,2020-05-06 22:49:26,9.19,117.81,100,65,88.02,3.36
Buluang,PH,2020-05-06 22:49:26,13.31,123.34,31,50,93.58,5.55
Omboué,GA,2020-05-06 22:49:27,-1.57,9.26,67,91,78.78,4.81
Porto Torres,IT,2020-05-06 22:49:27,40.84,8.4,20,93,59.0,4.7
Bograd,RU,2020-05-06 22:49:27,54.23,90.83,100,66,48.2,15.66
Tiarei,PF,2020-05-06 22:49:27,-17.53,-149.33,99,65,82.4,10.29
Misratah,LY,2020-05-06 22:49:27,32.38,15.09,100,32,77.67,9.71
Cururupu,BR,2020-05-06 22:49:27,-1.83,-44.87,46,96,76.12,3.8
Caravelas,BR,2020-05-06 22:49:27,-17.71,-39.25,71,82,74.98,6.91
Seydişehir,TR,2020-05-06 22:49:27,37.42,31.85,3,69,48.67,3.51
Jinchang,CN,2020-05-06 22:49:28,38.5,102.17,100,44,52.02,15.88
Haines Junction,CA,2020-05-06 22:49:28,60.75,-137.51,100,46,51.22,5.26
Vardø,NO,2020-05-06 22:49:28,70.37,31.11,40,74,37.4,11.41
Pozoblanco,ES,2020-05-06 22:49:28,38.38,-4.85,100,82,59.0,3.36
Dondo,MZ,2020-05-06 22:49:29,-19.61,34.74,76,86,66.31,5.57
Yantal',RU,2020-05-06 22:49:29,56.85,105.25,100,67,46.09,10.54
Iranshahr,IR,2020-05-06 22:49:29,27.2,60.68,76,29,77.0,6.93
Podporozh'ye,RU,2020-05-06 22:49:29,60.91,34.17,100,76,44.56,2.57
Plouzané,FR,2020-05-06 22:49:29,48.38,-4.62,80,93,55.4,3.36
Gari,RU,2020-05-06 22:49:29,59.43,62.35,2,58,62.31,5.75
Jacqueville,CI,2020-05-06 22:49:29,5.21,-4.41,20,88,82.4,2.24
San Miguel de Cozumel,MX,2020-05-06 22:49:30,20.51,-86.95,90,83,82.99,8.05
Jilin,CN,2020-05-06 22:49:30,43.0,126.0,100,32,68.05,8.5
Buin,CL,2020-05-06 22:49:30,-33.73,-70.75,15,28,55.4,4.7
Koubia,GN,2020-05-06 22:49:30,11.58,-11.9,85,61,76.08,3.15
Tupã,BR,2020-05-06 22:49:30,-21.93,-50.51,100,97,61.83,8.1
Ganzhou,CN,2020-05-06 22:49:30,28.82,115.43,91,81,78.21,1.36
Hikari,JP,2020-05-06 22:49:30,33.95,131.95,75,45,66.2,14.99
Pangai,TO,2020-05-06 22:49:31,-19.8,-174.35,40,100,78.8,4.7
